Market Year,Years after 1960,Barley,Corn,Millet,Oats,"Rice, Milled",Rye,Sorghum,Wheat,Total
1960/1961,0,12147,60227,463,8472,10496,6565,21891,82849,203110
1961/1962,1,10632,56223,1421,7861,8532,5745,21715,69850,181979
1962/1963,2,12664,48410,1455,9181,12537,6759,22943,75846,189795
1963/1964,3,14372,52943,1383,10037,16260,4870,22454,70327,192646
1964/1965,4,20251,43114,1093,8258,17192,5230,20156,78479,193773
1965/1966,5,14646,33680,856,8970,18088,7692,14475,60734,159141
1966/1967,6,16022,39052,1163,7851,18569,6122,13073,87622,189474
1967/1968,7,18089,47073,1543,7601,21278,5094,14974,97664,213316
1968/1969,8,21682,43698,1542,10699,24554,6398,13780,121311,243664
1969/1970,9,22168,41072,4646,12446,26427,5341,12123,103543,227766
1970/1971,10,18089,36148,3547,12845,28827,4787,8046,80529,192818
1971/1972,11,20236,49022,3301,13224,28710,4462,9263,89244,217462
1972/1973,12,19522,38016,2837,9626,24151,3796,7285,74928,180161
1973/1974,13,19215,38720,3498,7593,29313,2934,7656,82667,191596
1974/1975,14,20433,45689,3188,6451,28760,3958,8977,81353,198809
1975/1976,15,18197,52495,3918,6204,39390,2635,9310,86719,218868
1976/1977,16,21737,68337,3993,6088,38840,3329,10147,127352,279823
1977/1978,17,19857,77307,3583,8539,44786,1770,12844,109207,277893
1978/1979,18,24289,91380,3760,8365,54847,2762,12660,134848,332911
1979/1980,19,18921,111155,2933,6471,54024,2205,11512,120453,327674
1980/1981,20,18339,102541,2940,5229,52589,1944,11571,112642,307795
1981/1982,21,16061,127158,2964,4981,50506,1690,15547,112632,331539
1982/1983,22,21469,149764,2744,6415,56774,4359,17403,130131,389059
1983/1984,23,15518,88982,3457,5477,69311,5710,13949,145780,348184
1984/1985,24,23141,118153,2920,5791,87659,8050,13737,168405,427856
1985/1986,25,29576,177678,2340,5391,97702,8041,19083,178435,518246
1986/1987,26,33826,204863,2104,4669,103305,9054,23324,190882,572027
1987/1988,27,33575,197674,1138,4529,105260,6729,20007,158789,527701
1988/1989,28,31724,145252,1085,4187,111646,5666,15973,134750,450283
1989/1990,29,27528,132866,695,5413,120604,6575,10228,136584,440493
1990/1991,30,31512,141402,719,6147,126641,9569,7652,170884,494526
1991/1992,31,34910,141055,718,4921,126677,8663,5869,161284,484097
1992/1993,32,35042,162740,1478,4465,123155,8043,9511,176731,521165
1993/1994,33,34916,129444,378,5736,118926,7832,4190,182663,484085
1994/1995,34,30011,153348,205,5484,117561,5079,4271,163921,479880
1995/1996,35,20505,133286,205,3367,118061,3060,2890,155786,437160
1996/1997,36,24148,166319,324,3723,120255,3215,5339,164389,487712
1997/1998,37,32197,167202,275,5341,127718,6703,5045,197915,542396
1998/1999,38,28958,191363,315,4455,134047,6548,6363,209294,581343
1999/2000,39,23876,194407,225,3754,143099,5693,5228,209072,585354
2000/2001,40,22510,175131,203,3902,146677,5666,3848,206051,563988
2001/2002,41,29115,151368,288,4011,132935,8026,4846,203297,533886
2002/2003,42,27500,126901,182,3391,103027,8588,4490,169109,443188
2003/2004,43,23413,104702,621,3315,81679,4515,5576,135912,359733
2004/2005,44,33066,131072,622,3544,74009,4145,4835,156427,407720
2005/2006,45,28212,123448,231,3164,76508,2813,5129,153280,392785
2006/2007,46,21409,108765,278,2854,75406,1211,3849,133491,347263
2007/2008,47,20440,125506,451,3365,81396,1607,6183,128475,367423
2008/2009,48,32064,136052,323,4751,94180,2432,6126,170062,445990
2009/2010,49,36877,131595,300,4401,96575,2807,4521,204078,481154
2010/2011,50,23872,115339,815,3165,101932,1698,5482,199211,451514
2011/2012,51,21978,123377,574,3364,111841,1195,4142,199418,465889
2012/2013,52,21172,144872,443,2495,123003,1399,4229,179534,477147
2013/2014,53,24478,214684,506,3023,127760,1921,5616,197703,575691
2014/2015,54,23719,279817,596,2956,135199,2000,5683,222760,672730
2015/2016,55,25867,312384,287,3180,142488,1624,5104,244994,735928
2016/2017,56,22459,352198,547,3323,150325,1608,5479,262986,798925
2017/2018,57,19387,341275,687,2996,164096,1226,4733,284099,818499
2018/2019,58,17803,320130,323,2114,176792,818,5653,279836,803469
2019/2020,59,21775,312907,663,2357,181256,976,4294,295840,820068
2020/2021,60,22920,337873,663,3262,185348,1274,4045,316089,871474
